SEMMA
DKARK
DKSTB
DKVOR
DERSK
DKAAR
DKODE
DKKAL
SELAA
NOKRS
DKMID
DEEME
DEHHF
DKAAB
DKASN
DKAVN
SEFAG
DKSTP
DKRKB
DKHLS
DKNVD
DKHON
DKBDX
DKSKV
SEAHU
DKFDV
DELBC
DEBUZ
DEOSR
PLSWI
DEBRV
DKRAN
SETRG
DKFUH
DKFAA
DKHVN
DEECK
DKKOG
PLUST
NOFAN
DKSOB
DKHAS
DKENS
SEHEL
DECKL
DKGLE
DEKEL
DKFDH
DKFDS
DKSVE
SEKLR
SEVAG
DKHIR
DECUX
DKLIN
SEHAD
DKKOL
DKEBJ
DKFRC
SEKAN
DKHBO
DEFLF
DKBAG
DEBKE
DKROD
DKKRR
SESOL
DEWVN
DKHAN
no_port
DEBXN
DKAAL
DKRNN
DKLHH
DKSKA
DKCPH
DESTL
NOBVK
DKSGD
DEHAM
DEWAR
NOLAR
NOKRA
SESTE
DEWIS
DKSSV
DKKBK
DKNBG
DKSBK
DKNYM
DKMRS
SEDON
DKVEJ
DKNAK
DKHOR
DEREN
DKNYF
NOREK
NOMAN
DKHUN
SEGOT
DKTUB
DKGFH
DKFAK
SEBRO
SEYST
DKTYB
DKSIT
SEHOG
DEBRE
DKDRA
DKGRE
DETRV
DKDAS
SESIM
DEHUS
DKHVS
DEHTU
